Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
IICOLSC520,Alphitobius laevigatus,Black Fungus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL05280,Altica carduorum,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDBRA02010,Alyssum alyssoides,pale alyssum,,SNA (2019),Exotic,GNR,,,,,,
PDBRA02030,Alyssum desertorum,desert alyssum,,SNA (2019),Exotic,GNR,,,,,,
PDBRA02060,Alyssum murale,wall alyssum,,SNA (2019),Exotic,GNR,,,,,,
IICOLQD5P0,Amalus scortillum,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
NFAGA07170,Amanita excelsa,,,SNA (2021),Exotic,GNR,,,,,,
NFAMA000G0,Amanita phalloides,death cap,,SNA (2021),Exotic,GNR,,,,,,
NFAGA07360,Amanita rubescens,,,SNA (2021),Exotic,GNR,,,,,,
IICOLB9210,Amara aenea,Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLB90A0,Amara anthobia,A Ground Beetle,,SNA (2017),No Status,GNR,,,,,,
IICOLB9040,Amara apricarius,A Sun Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLB9300,Amara familiaris,Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLB9200,Amara ovata,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAMA04030,Amaranthus albus,tumbleweed,,SNA (2019),Exotic,GNR,,,,,,
PDAMA04080,Amaranthus blitoides,prostrate pigweed,,SNA (2019),Exotic,GNR,,,,,,
PDAMA04192,Amaranthus blitum ssp. emarginatus,purple amaranth,,SNA (2019),Exotic,GNRTNR,,,,,,
PDAMA040G0,Amaranthus cruentus,blood amaranth,,SNA (2019),Exotic,GNR,,,,,,
PDAMA040Q0,Amaranthus hypochondriacus,prince's-feather amaranth,,SNA (2019),Exotic,G4? (1987),,,,,,
PDAMA040X2,Amaranthus powellii ssp. bouchonii,Bouchon's amaranth,,SNA (2008),Exotic,G5TNR,,,,,,
PDAMA040X1,Amaranthus powellii ssp. powellii,Powell's amaranth,,SNA (2008),Exotic,G5T5 (2008),,,,,,
PDAMA04100,Amaranthus retroflexus,rough pigweed,,SNA (2019),Exotic,G5 (2015),,,,,,
ILACA15010,Amblyomma americanum,,,SNA (2019),Exotic,GNR,,,,,,
IIHEMY6010,Amblytylus nasutus,,,SNA,Exotic,GNR,,,,,,
PDAST0C030,Ambrosia artemisiifolia,annual ragweed,,SNA (2019),Exotic,G5 (2016),,,,,,
AFCKA06030,Ameiurus melas,Black Bullhead,,SNA (2019),Exotic,G5 (2015),,,,,,
AFCKA06050,Ameiurus nebulosus,Brown Bullhead,,SNA (2019),Exotic,G5 (2015),,,,,,
PDROS050R0,Amelanchier lamarckii,Lamarck's serviceberry,,SNA (2019),Exotic,GNR,,,,,,
PMPOA08010,Ammophila arenaria ssp. arenaria,European beachgrass,,SNA (2019),Exotic,GNR (1994),,,,,,
PMPOA08020,Ammophila breviligulata ssp. breviligulata,sand reed,,SNA (2019),Exotic,G5 (2016),,,,,,
IILEYD3020,Amphipyra tragopoginis,,,SNA (2017),Exotic,G5 (2002),,,,,,
IICOLQN020,Anacaena limbata,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQN090,Anacaena lutescens,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IILEG6J010,Anarsia lineatella,,,SNA (2017),Exotic,GNR,,,,,,
ABNJB10040,Anas rubripes,American Black Duck,,SNA (2015),Exotic,G5 (2016),,,,,,
PDBOR02010,Anchusa arvensis,European bugloss,,SNA (2019),Exotic,GNR,,,,,,
PDBOR02020,Anchusa azurea,Italian bugloss,,SNA (2019),Exotic,GNR,,,,,,
PDBOR02021,Anchusa azurea var. azurea,Italian bugloss,,SNA,Exotic,GNRTNR,,,,,,
PDBOR02050,Anchusa officinalis,alkanet,,SNA (2019),Exotic,GNR,,,,,,
PDRAN040G0,Anemone nemorosa,European thimbleweed,,SNA (2019),Exotic,GNR (1994),,,,,,
PDAPI06010,Anethum graveolens,common dill,,SNA (2019),Exotic,GNR,,,,,,
IICOL7J030,Anisandrus dispar,European Shorthole Borer,,SNA (2017),Exotic,GNR,,,,,,
IICOL7U190,Anisodactylus binotatus,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQU440,Anisotoma humeralis,A Small Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLTR010,Anobium punctatum,Furniture Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM4X050,Anoecia corni,,,SNA,Exotic,GNR,,,,,,
IIHOM0J040,Anoscopus albifrons,,,SNA,Exotic,GNR,,,,,,
IIHOM0J010,Anoscopus albiger,,,SNA,Exotic,GNR,,,,,,
IIHOM0J030,Anoscopus serratulae,,,SNA,Exotic,GNR,,,,,,
IICOLN8060,Anotylus nitidulus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLN8030,Anotylus rugosus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLN8090,Anotylus tetracarinatus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAST0J020,Anthemis arvensis,common chamomile,,SNA (2019),Exotic,GNR,,,,,,
PDAST0J030,Anthemis cotula,stinking chamomile,,SNA (2019),Exotic,G5 (1994),,,,,,
IIHYMA3060,Anthidium manicatum,,,SNA (2016),Exotic,G5 (2019),,,,,,
IIHEMH6040,Anthocoris confusus,,,SNA,Exotic,GNR,,,,,,
IIHEMH6060,Anthocoris nemoralis,,,SNA,Exotic,GNR,,,,,,
PMPOA0F010,Anthoxanthum aristatum ssp. aristatum,annual vernalgrass,,SNA (2019),Exotic,G4G5 (1994),,,,,,
PMPOA0F020,Anthoxanthum odoratum,sweet vernalgrass,,SNA (2019),Exotic,GNR (1994),,,,,,
IICOL8K040,Anthrenus scrophulariae,Buffalo Carpet Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL8K050,Anthrenus verbasci,Varied Carpet Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAPI08010,Anthriscus caucalis,bur chervil,,SNA (2019),Exotic,GNR,,,,,,
PDAPI08020,Anthriscus cerefolium,chervil,,SNA (2019),Exotic,GNR,,,,,,
PDAPI08040,Anthriscus sylvestris,wild chervil,,SNA (2019),Exotic,GNR,,,,,,
IILEYB9420,Apamea unanimis,,,SNA (2017),Exotic,GNR,,,,,,
PMPOA0G010,Apera interrupta,interrupted apera,,SNA (2019),Exotic,GNR,,,,,,
PDROS21050,Aphanes arvensis,field parsley-piert,,SNA (2019),Exotic,GNR,,,,,,
PDROS21040,Aphanes australis,small-fruited parsley-piert,,SNA (2019),Exotic,GNR,,,,,,
IIHOM3G450,Aphis callunae,,,SNA,Exotic,GNR,,,,,,
IIHOM3G470,Aphis chloris,,,SNA,Exotic,GNR,,,,,,
IIHOM3G070,Aphis craccae,,,SNA,Exotic,GNR,,,,,,
IIHOM3G510,Aphis craccivora,,,SNA,Exotic,GNR,,,,,,
IIHOM3G530,Aphis cytisorum,,,SNA,Exotic,GNR,,,,,,
IIHOM3G540,Aphis epilobii,,,SNA,Exotic,GNR,,,,,,
IIHOM3G100,Aphis fabae,,,SNA,Exotic,GNR,,,,,,
IIHOM3G570,Aphis galiiscabri,,,SNA,Exotic,GNR,,,,,,
IIHOM3G580,Aphis genistae,,,SNA,Exotic,GNR,,,,,,
IIHOM3G140,Aphis gossypii,,,SNA,Exotic,GNR,,,,,,
IIHOM3G600,Aphis hederae,,,SNA,Exotic,GNR,,,,,,
IIHOM3G630,Aphis idaei,,,SNA,Exotic,GNR,,,,,,
IIHOM3G220,Aphis nasturtii,,,SNA,Exotic,GNR,,,,,,
IIHOM3G290,Aphis pomi,,,SNA,Exotic,GNR,,,,,,
IIHOM3G720,Aphis praeterita,,,SNA,Exotic,GNR,,,,,,
IIHOM3G330,Aphis rumicis,,,SNA,Exotic,GNR,,,,,,
IIHOM3G740,Aphis sambuci,,,SNA,Exotic,GNR,,,,,,
IIHOM3G360,Aphis sedi,,,SNA,Exotic,GNR,,,,,,
IIHOM3G370,Aphis spiraecola,,,SNA,Exotic,GNR,,,,,,
IIHOM3G770,Aphis thalictri,,,SNA,Exotic,GNR,,,,,,
IIHOM3G780,Aphis vaccinii,,,SNA,Exotic,GNR,,,,,,
IICOL12140,Aphodius fimetarius,A Dung Beetle,,SNA (2019),Exotic,GNR,,,,,,
IIHOM0K010,Aphrodes bicinctus,,,SNA,Exotic,GNR,,,,,,
IICOLHR010,Aphthona cyparissiae,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLHR030,Aphthona czwalinae,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLHR040,Aphthona flava,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLHR020,Aphthona nigriscutis,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHYM39010,Apis mellifera,Honey Bee,,SNA (2016),Exotic,GNR,,,,,,
IILEU77010,Aplocera plagiata,,,SNA (2017),Exotic,GNR,,,,,,
IIHOMD1010,Aploneura lentisci,,,SNA,Exotic,GNR,,,,,,
IAOLI18080,Aporrectodea limicola,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI18010,Aporrectodea longa,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI18020,Aporrectodea rosea,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI18030,Aporrectodea trapezoides,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI18040,Aporrectodea tuberculata,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI18050,Aporrectodea turgida,,,SNA (2019),Exotic,GNR,,,,,,
IILEF1L020,Apterona helicoidella,,,SNA (2017),Exotic,GNR,,,,,,
PDRAN050N0,Aquilegia vulgaris,European columbine,,SNA (2019),Exotic,GNR,,,,,,
PDBRA05010,Arabidopsis thaliana,mouse-ear,,SNA (2019),Exotic,GNR,,,,,,
IIHEMH80C0,Aradus depressus,,,SNA,Exotic,GNR,,,,,,
IIHEMH80D0,Aradus laeviusculus,,,SNA,Exotic,GNR,,,,,,
IIHEMH80E0,Aradus pictellus,,,SNA,Exotic,GNR,,,,,,
IICOLPJ040,Araecerus fasciculatus,Coffee Bean Weevil,,SNA (2017),Exotic,GNR,,,,,,
ILARA81190,Araneus diadematus,Cross Orbweaver,,SNA,Exotic,GNR,,,,,,
ITUNIA4010,Archiboreoiulus pallidus,,,SNA (2020),Exotic,GNR,,,,,,
IILEM26160,Archips oporana,Pine Torix Moth,,SNA (2017),Exotic,GNR,,,,,,
IILEM26030,Archips rosana,,,SNA (2017),Exotic,GNR,,,,,,
PDAST0M010,Arctium lappa,great burdock,,SNA (2019),Exotic,GNR,,,,,,
PDAST0M080,Arctium minus,common burdock,,SNA (2019),Exotic,GNR,,,,,,
ILARA76100,Arctosa perita,Eurasian Bear Spider,,SNA,Exotic,GNR,,,,,,
PDCAR040P2,Arenaria serpyllifolia var. serpyllifolia,thyme-leaved sandwort,,SNA (2019),Exotic,GNRTNR,,,,,,
ILACA19020,Argas persicus,,,SNA (2019),Exotic,GNR,,,,,,
IILEJ0L170,Argyresthia conjugella,,,SNA (2017),Exotic,GNR,,,,,,
IILEJ0L530,Argyresthia pruniella,,,SNA (2017),Exotic,GNR,,,,,,
IILEM3B020,Argyroploce dalecarliana,,,SNA (2017),Exotic,GNR,,,,,,
IMGAS56020,Arion circumscriptus,Brown-banded Arion,,SNA (2015),Exotic,G5 (2004),,,,,,
IMGAS56030,Arion distinctus,Darkface Arion,,SNA (2015),Exotic,G5 (2009),,,,,,
IMGAS56040,Arion fasciatus,Orange-banded Arion,,SNA (2015),Exotic,G5 (2002),,,,,,
IMGAS56050,Arion hortensis,Garden Arion,,SNA (2015),Exotic,G5 (2009),,,,,,
IMGAS56060,Arion intermedius,Hedgehog Arion,,SNA (2015),Exotic,G5 (2009),,,,,,
IMGAS56080,Arion rufus,Chocolate Arion,,SNA (2015),Exotic,G4G5 (2009),,,,,,
IMGAS56100,Arion silvaticus,Forest Arion,,SNA (2015),Exotic,G5 (2009),,,,,,
IMGAS56090,Arion subfuscus,Dusky Arion,,SNA (2008),Exotic,G5 (2015),,,,,,
PDPLU01018,Armeria maritima ssp. maritima,thrift,,SNA (2008),Exotic,G5TNR,,,,,,
PDBRA07020,Armoracia rusticana,common horseradish,,SNA (2019),Exotic,GNR,,,,,,
PMPOA0L012,Arrhenatherum elatius ssp. bulbosum,bulbous tall oatgrass,,SNA,Exotic,GNRTNR,,,,,,
PMPOA0L014,Arrhenatherum elatius ssp. elatius,tall oatgrass,,SNA,Exotic,GNRTNR,,,,,,
IICLL04320,Arrhopalites japonicus,,,SNA (2019),Exotic,GNR,,,,,,
PDAST0S020,Artemisia absinthium,wormwood,,SNA (2019),Exotic,GNR,,,,,,
PDAST0S2G0,Artemisia princeps,Japanese mugwort,,SNA (2021),Exotic,GNR,,,,,,
PDAST0S1V0,Artemisia vulgaris,common mugwort,,SNA (2019),Exotic,GU (2006),,,,,,
PMARA05010,Arum italicum,Italian arum,,SNA (2019),Exotic,GNR (2004),,,,,,
IIHOMV8010,Arytainilla spartiophila,,,SNA,Exotic,GNR,,,,,,
IILEY76010,Ascalapha odorata,,,SNA (2017),Exotic,G5 (2002),,,,,,
IIHEMY8010,Asciodema obsoletum,,,SNA,Exotic,GNR,,,,,,
PMLIL08030,Asparagus officinalis,garden asparagus,,SNA (2019),Exotic,G5? (1996),,,,,,
PDBOR04010,Asperugo procumbens,madwort,,SNA (2019),Exotic,GNR,,,,,,
PDFAB0F220,Astragalus cicer,chick-pea milk-vetch,,SNA (2019),Exotic,G5 (1994),,,,,,
PDFAB0F3D0,Astragalus falcatus,Russian sickle milk-vetch,,SNA (2019),Exotic,G5 (1994),,,,,,
IIHOMD4010,Atheroides serrulatus,,,SNA,Exotic,GNR,,,,,,
IICOL93240,Atheta celata,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL93450,Atheta longicornis,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL93790,Atheta subrugosa,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQM050,Atholus bimaculatus,A Hister Beetle,,SNA (2017),Exotic,GNR,,,,,,
IILEG51030,Athrips rancidella,,,SNA (2017),Exotic,GNR,,,,,,
PDCAR0U060,Atocion armeria,sweet William catchfly,,SNA (2019),Exotic,GU (2015),,,,,,
IIHEMJ1050,Atractotomus magnicornis,,,SNA,Exotic,GNR,,,,,,
IIHEMJ1060,Atractotomus mali,,,SNA,Exotic,GNR,,,,,,
PDCHE040V0,Atriplex hortensis,garden orache,,SNA (2019),Exotic,GNR,,,,,,
PDCHE04300,Atriplex longipes,Baltic saltbush,,SNA (2019),Exotic,GNR,,,,,,
PDCHE042D0,Atriplex micrantha,Russian orache,,SNA (2019),Exotic,G5 (1994),,,,,,
PDCHE041A0,Atriplex oblongifolia,oblong-leaved orache,,SNA (2019),Exotic,GNR (1994),,,,,,
PDCHE041F4,Atriplex patula,common orache,,SNA (2019),Exotic,G5 (2000),,,,,,
PDCHE041N0,Atriplex prostrata,thinleaf orach,,SNA (2019),Exotic,G5 (2016),,,,,,
PDCHE041Q0,Atriplex rosea,red orache,,SNA (2019),Exotic,GNR,,,,,,
IICOL8L030,Attagenus pellio,,,SNA (2017),Exotic,GNR,,,,,,
IICOL8L050,Attagenus unicolor,Black Carpet Beetle,,SNA (2017),Exotic,GNR,,,,,,
ILARAC7080,Attulus ammophilus,Palaearctic Patterned Jumper,,SNA (2016),Exotic,GNR,,,,,,
ILARAC7090,Attulus fasciger,East Asian Patterned Jumper,,SNA,Exotic,GNR,,,,,,
PDBRA34010,Aubrieta deltoidea,lilacbush,,SNA (2019),Exotic,GNR,,,,,,
IIHOM5D010,Aulacorthum solani,,,SNA,Exotic,GNR,,,,,,
IICOLRZ7D0,Autalia puncticollis,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLRZ7E0,Autalia rivularis,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
PMPOA0S030,Avena fatua,wild oat,,SNA (2019),Exotic,GNR,,,,,,
PMPOA0S050,Avena sativa,common oat,,SNA (2019),Exotic,GNR,,,,,,
PMPOA22090,Avenella flexuosa,wavy hairgrass,,SNA (2019),Exotic,G5 (2015),,,,,,
PDCHE05010,Axyris amaranthoides,Russian pigweed,,SNA (2019),Exotic,GNR,,,,,,
PPAZO01010,Azolla caroliniana,eastern mosquito fern,,SNA (2019),Exotic,G5 (2015),,,,,,
PDBRA0A030,Barbarea verna,early wintercress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0A040,Barbarea vulgaris,bitter wintercress,,SNA (2019),Exotic,GNR,,,,,,
IICOLQD7B0,Barynotus obscurus,A Broad-nosed Weevil,,SNA (2017),Exotic,GNR,,,,,,
IICOLQD0Y0,Barypeithes pellucidus,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
PDCHE06020,Bassia hyssopifolia,five-hooked bassia,,SNA (2019),Exotic,GNR (1994),,,,,,
PDCHE0E040,Bassia scoparia,summer-cypress,,SNA (2019),Exotic,GNR,,,,,,
IILEG0S010,Batia lunaris,,,SNA (2017),Exotic,GNR,,,,,,
PDAST14010,Bellis perennis,English daisy,,SNA (2019),Exotic,GNR,,,,,,
IICOL732Q0,Bembidion lampros,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL73250,Bembidion tetracolum,A Carabid Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDBER02040,Berberis thunbergii,Japanese barberry,,SNA (2019),Exotic,GNR,,,,,,
PDBER02050,Berberis vulgaris,common barberry,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0B010,Berteroa incana,hoary alyssum,,SNA (2019),Exotic,GNR,,,,,,
IIHEMW1010,Berytinus minor,,,SNA,Exotic,GNR,,,,,,
PDBET020D0,Betula pendula,European birch,,SNA (2019),Exotic,GNR,,,,,,
PDBET020G1,Betula pubescens ssp. pubescens,downy birch,,SNA (2019),Exotic,GNRTNR,,,,,,
IIHOM5E030,Betulaphis brevipilosa,,,SNA,Exotic,GNR,,,,,,
IIHOM5E020,Betulaphis quadrituberculata,,,SNA,Exotic,GNR,,,,,,
PDAST180E0,Bidens connata,purplestem beggarticks,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST180R0,Bidens frondosa,common beggarticks,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST181L0,Bidens tripartita,three-parted beggarticks,,SNA (2019),Exotic,G5 (2016),,,,,,
IICOLBW060,Bisnius cephalotes,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLBW160,Bisnius parcus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLBW020,Bisnius sordidus,,,SNA (2017),Exotic,GNR,,,,,,
IIHEMJ4030,Blepharidopterus angulatus,,,SNA,Exotic,GNR,,,,,,
PDCHE0F010,Blitum nuttallianum,poverty weed,,SNA (2019),Exotic,G5 (2015),,,,,,
IMGASZ8010,Boettgerilla pallens,Wormslug,,SNA (2015),Exotic,G5 (2000),,,,,,
